"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU149"	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU150"	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta"
"OTU151"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Dictyosporiaceae,g:Dictyosporium,s:Dictyosporium heptasporum"
"OTU152"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	"k:Fungi"
"OTU153"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU154"	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Trichosphaeriales,f:Trichosphaeriaceae,g:Nigrospora"
"OTU155"	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Orbiliomycetes"
"OTU156"	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusicolla"
"OTU157"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Orbilia"
"OTU158"	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes"
"OTU159"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Microdochiaceae"
