"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU121"	0	0	0	0	0	0	0	17	58	291	210	51	5	223	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Flavobacteriia; o__\"Flavobacteriales\"; f__Flavobacteriaceae; g__Chryseobacterium"
"OTU122"	0	0	0	0	0	0	0	0	6	4	3	46	386	39	11	0	"k__Bacteria; p__\"Chloroflexi\"; c__Ktedonobacteria; o__Ktedonobacterales"
"OTU124"	0	0	51	0	0	18	70	46	0	0	12	0	332	3	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__Kineococcus"
"OTU126"	0	0	0	0	0	0	0	0	454	434	422	15	69	24	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas"
"OTU127"	0	0	0	0	0	0	0	0	48	59	8	19	552	24	43	41	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae"
"OTU129"	0	0	0	0	0	0	0	9	6	302	18	21	3	14	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Flavobacteriia; o__\"Flavobacteriales\"; f__Flavobacteriaceae; g__Chryseobacterium"
"OTU130"	11	14	306	0	0	35	195	1030	9	5	196	32	143	59	76	9	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium"
"OTU132"	0	0	0	0	0	0	0	0	115	112	49	76	13	75	125	81	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae"
"OTU133"	0	0	0	0	48	9	200	659	136	62	32	62	16	37	64	0	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp4; o__; f__; g__Blastocatella"
"OTU134"	0	0	0	0	262	0	266	465	188	60	324	525	161	90	755	73	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Asanoa"
"OTU135"	0	0	0	0	8	3	72	358	92	207	137	51	15	133	21	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter"
"OTU136"	0	0	0	0	0	0	0	0	37	25	11	142	94	35	9	121	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Inquilinus"
"OTU138"	0	0	0	0	0	0	0	0	78	35	31	88	462	105	227	41	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__Reyranella"
"OTU140"	0	0	0	0	0	0	0	0	63	18	3	88	228	86	0	0	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp4"
"OTU141"	0	0	0	0	0	0	54	9	4	0	41	7	0	22	726	66	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp3; o__; f__; g__Gp3"
"OTU145"	0	11	7	0	928	273	237	179	3	0	42	27	32	10	43	2	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Marmoricola"
"OTU146"	0	0	0	0	0	0	0	0	0	0	3	4	159	153	7	11	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium"
"OTU148"	0	0	0	0	0	0	0	0	149	332	199	0	7	4	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiales_incertae_sedis; g__Aquincola"
"OTU149"	0	0	0	0	0	0	0	0	67	118	26	59	143	148	168	32	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium"
